time,PRECIPITACAO_TOTAL,PRESSAO_ATM_NIVEL_ESTACAO,PRESSAO_ATM_MAX_HORARIA,PRESSAO_ATM_MIN_HORARIA,RADIACAO_GLOBAL,TEMP_AR,TEMP_MAX_AR,TEMP_MIN_AR,UMIDADE_RELATIVA,UMIDADE_RELATIVA_MAX,UMIDADE_RELATIVA_MIN,PONTO_ORVALHO,PONTO_ORVALHO_MAX,PONTO_ORVALHO_MIN,VENTO_DIRECAO_HORARIA,VENTO_VELOCIDADE_HORARIA,VENTO_RAJADA_MAX,zrodlo_plik
2003-12-31,-26.93303202479339,984.2932076446281,983.0971849173553,982.6503486570249,-8746.314824380166,-0.807089359504133,-5.918775826446281,-1.6370351239669398,-2.532592975206605,-6.710214359504139,-7.685588842975204,47.926394628099175,42.64643595041322,46.64617768595041,98.87551652892562,-21.65989152892562,-25.110666322314046,aracaju_SE_completo_v2.nc
2004-12-31,-44.2443533697632,965.0099385245902,965.2391848816029,964.786464025501,-8695.456397996357,-18.252994080145722,-23.325352914389804,-17.789139344262292,-18.674965846994535,-22.850034153005463,-23.756523224043715,31.68362932604736,26.925318761384336,29.350523679417122,80.67395264116576,-37.63948087431694,-41.02684426229508,aracaju_SE_completo_v2.nc
2005-12-31,,,,,,,,,,,,,,,,,,aracaju_SE_completo_v2.nc
2006-12-31,-5241.449657534246,-4759.814805936074,-4759.695011415525,-4759.922214611872,-3825.120776255708,-5228.589566210046,-5230.528139269406,-5228.399269406392,-5228.756598173516,-5230.338858447489,-5230.707431506849,-5202.998059360731,-5205.060502283105,-5203.987214611872,-5193.980707762557,-5237.919794520548,-5239.543630136986,aracaju_SE_completo_v2.nc
2007-12-31,-5483.421849315068,-5025.150376712329,-5028.809280821917,-5029.0237100456625,-7100.500570776256,-5471.370114155251,-5490.1965068493155,-5472.312671232877,-5472.705388127854,-5490.027682648401,-5490.358881278538,-5463.372831050228,-5465.320433789954,-5463.162785388128,-5440.338127853881,-5491.737397260274,-5488.687956621005,aracaju_SE_completo_v2.nc
2008-12-31,-2464.3622267759565,-1700.4481898907102,-1700.2670423497266,-1700.6162340619308,-5203.830601092896,-2445.934801912568,-3681.6687272313297,-2445.5744649362478,-2446.3042122040074,-3688.214833788707,-3688.8166552823313,-3637.554986338798,-3640.5537340619308,-3642.5011384335153,-2365.507855191257,-2459.37098132969,-2462.1230988160287,aracaju_SE_completo_v2.nc
2009-12-31,-1052.3478310502283,-145.85748858447494,-145.64246575342455,-146.05518264840197,-4169.362557077626,-1028.497077625571,-1851.551598173516,-1028.0899200913243,-1028.8893264840183,-1870.6439954337898,-1871.349908675799,-1805.9658675799087,-1809.3212328767124,-1802.996803652968,-942.5795662100456,-1046.4720091324202,-1049.6065410958902,aracaju_SE_completo_v2.nc
2010-12-31,-1293.0751369863015,-410.7457305936073,-423.1067808219178,-423.5094863013698,-3828.105707762557,-1275.6208447488586,-1626.8305022831053,-1283.2100913242007,-1284.032899543379,-1641.3336415525114,-1642.0503881278541,-1589.3956621004565,-1595.0102739726028,-1576.0648401826484,-4959.597831050229,-5022.4310045662105,-5017.275125570776,aracaju_SE_completo_v2.nc
2011-12-31,-10.112168949771693,1002.0108447488584,1002.2398059360731,1001.7820319634703,733.267808219178,16.2288698630137,-1477.7083219178085,16.70520547945205,15.769566210045662,-1471.6053881278542,-1480.379623287671,-1426.470205479452,-1439.541894977169,-1434.1182648401827,110.7445205479452,-3.421015981735159,-7.3210159817351625,aracaju_SE_completo_v2.nc
2012-12-31,-4.436634790528233,1009.3214936247723,1009.5467099271403,1009.0964367030965,774.8466530054645,21.919729052823314,-1822.8549521857924,22.381341074681238,21.474681238615666,-1829.2823884335155,-1848.3249316939891,-1784.6228369763205,-1811.4431921675773,-1783.1600637522768,105.10200364298726,2.551662112932604,-1.4227686703096538,aracaju_SE_completo_v2.nc
2013-12-31,-1692.6465296803653,988.7634931506849,985.2220091324202,984.7637328767124,-2826.0962328767123,3.8428310502283067,-2374.922659817352,0.881004566210038,-0.044520547945212124,-2375.6946689497718,-2389.031164383562,-2329.9560502283107,-2352.0368721461186,-2334.036415525114,89.8791095890411,-19.33501141552512,-20.950627853881283,aracaju_SE_completo_v2.nc
2014-12-31,-0.9878767123287671,1014.4840068493152,1014.7079109589042,1014.260308219178,-3808.911301369863,26.66761415525114,-2133.2853652968033,27.212922374429226,26.140536529680364,-452.0663584474886,-2525.7806278538815,-286.78675799086756,-2552.750913242009,-2157.648287671233,117.94212328767124,6.836735159817352,2.879920091324201,aracaju_SE_completo_v2.nc
2015-12-31,-0.9680136986301369,1014.5575456621007,1014.7909474885846,1014.3245890410957,-3797.242694063927,25.69767123287671,-266.7942123287671,27.33751141552511,26.367111872146122,-268.55420091324197,-279.8755593607306,-214.41906392694065,-232.1867579908676,-220.42408675799086,113.1365296803653,5.684315068493151,2.6240981735159816,aracaju_SE_completo_v2.nc
2016-12-31,-2458.685860655738,1014.5570582877959,1014.790152550091,1014.3245218579236,-3799.768897996357,26.987659380692165,19.802607012750453,27.42579690346084,26.56080373406193,20.29238387978142,19.31408242258652,67.65835610200364,62.977914389799636,65.35416666666667,108.94205373406193,-4426.638695355191,-4428.146926229508,aracaju_SE_completo_v2.nc
2017-12-31,-3457.346118721461,887.4640867579909,885.1718835616439,884.7270776255708,-3814.241780821918,-88.9971118721461,-95.87349315068492,-90.82325342465754,-91.7455136986301,-97.63976027397261,-98.66932648401828,-49.737899543378994,-54.54406392694064,-49.81027397260274,-4392.4065068493155,-4444.014121004567,-4442.763744292238,aracaju_SE_completo_v2.nc
2018-12-31,-1548.8702511415524,1014.13848173516,1013.1100799086759,1012.6530936073059,-3786.6254566210046,26.793812785388127,19.809075342465754,26.15436073059361,25.163835616438355,19.19567351598173,18.159931506849315,67.42796803652968,62.59874429223744,66.19326484018265,104.78618721461187,5.166803652968036,2.7251940639269403,aracaju_SE_completo_v2.nc
2019-12-31,0.16566210045662103,1014.1865068493152,1014.4159493092819,1013.9590820869962,1150.4092766653046,27.0687899543379,20.315610249494267,27.601518438177873,26.544651215892227,20.86661605937922,19.793623481781378,67.96543001686341,63.0681281618887,65.54231287929872,115.28630136986301,6.001632606461924,2.5240867579908675,aracaju_SE_completo_v2.nc
2020-12-31,0.16236338797814207,1013.8909380692168,1014.1232240437159,1013.6598019125682,,26.835860655737708,18.732957650273224,27.367099271402548,26.324419398907104,19.25255009107468,18.228745446265936,64.09426229508196,59.76992258652095,61.96778233151184,129.58048724954463,5.934392076502732,2.436133879781421,aracaju_SE_completo_v2.nc
2021-12-31,0.14236489836390678,1013.9441745166089,1014.1779995042141,1013.7111427863163,,26.86026990219141,18.32000610873549,26.470855614973264,26.231385415376998,19.04645476772616,17.672794117647058,60.07509157509158,54.93629402756508,57.469188529591214,132.24442240951907,5.9686787307883,2.4475334655428855,aracaju_SE_completo_v2.nc
2022-12-31,0.09810892586989409,1013.0550680786687,1013.3131618759455,1012.7964447806355,,26.067851739788196,19.923120452708165,26.486686838124054,25.6910363086233,20.53207547169811,19.41222313371616,72.3655737704918,67.3295081967213,69.79385610347614,94.30786686838124,6.313956127080181,2.8394856278366114,aracaju_SE_completo_v2.nc
2023-12-31,0.2009037745879851,1014.117317916002,1014.367995746943,1013.8727671451356,,26.406552365762895,20.151642243557355,26.880249867091973,25.967769803296118,20.718228896944584,19.725845033801352,71.72609819121448,66.93974025974026,69.31076301162203,131.48856990962256,5.654053694843169,2.2557283359914937,aracaju_SE_completo_v2.nc
2003-12-31,-2504.2331002892956,-1666.0284474445516,-1667.119238187078,-1667.5728182256507,375.4868611378978,-2409.69331002893,-2412.366586306654,-2410.443768081003,-2411.286354869817,-2413.199529893925,-2413.8934305689486,-2366.8258196721313,-2371.1417550626807,-2367.654893924783,-2345.8991080038572,-2428.011692381871,-2428.96918997107,belem_PA_completo_v2.nc
2004-12-31,-4312.778051001821,-3739.298030510018,-3739.107229052823,-3739.460701275046,-313.57103825136613,-4297.959710837887,-4299.947449908926,-4297.605236794171,-4298.262647996357,-4299.655771857923,-4300.191848816029,-4264.787909836065,-4267.944672131148,-4266.285519125683,-4246.98747723133,-4310.906193078325,-4312.482103825137,belem_PA_completo_v2.nc
